i,export_value,import_value,balance_ratio,export_stability_index,import_stability_index,total_stability_index,top_five_export,top_five_import,top_five_trade,export_entropy,import_entropy,total_entropy,export_HHI,import_HHI,total_HHI,export_partner_count,import_partner_count,total_partner_count,average_export_distance,average_import_distance,farthest_import_distance,farthest_export_distance,total_trade_value,export_weight,import_weight,average_trade_distance,farthest_trade_distance
262,299143.1937279626,14418784.735,0.02074676883148312,0.004446732937212309,0.12748788491404298,0.1319346178512553,174856.95070492895,884.2669999999999,175741.21770492892,3.4911771180431583,5.788867977632004,5.827988951732142,0.07333543368084308,0.015731662332358013,0.009445747691840714,87,100.0,187.0,3223.1042166603906,5662.708036099954,14525.139436246907,14525.139436246907,14717927.928727962,0.020325088910380124,0.9796749110896199,5613.122871563743,14525.139436246907
266,14430912.13958767,6067316.247,2.3784671100213495,0.1584427533281978,0.009979846625035356,0.16842259995323314,13197868.76874044,110576.496,13308445.26474044,1.4454442524169462,6.2826524630538625,3.4409609006318322,0.43141740152757235,0.004877579673470067,0.01994024705690194,119,110.0,229.0,9978.888908738747,7442.882231073942,16316.625277345669,16316.625277345669,20498228.386587672,0.704007774107447,0.295992225892553,9228.250647338362,16316.625277345669
268,9574014.095226126,24812496.599614184,0.38585452523044356,0.058077552442123447,0.0748246234496265,0.13290217589174994,3307100.32877287,1394454.919666341,4701555.2484392105,4.500335892787876,6.0794072650742645,5.935481550494941,0.04041997076620646,0.013810707948070954,0.013622306778672122,154,144.0,298.0,2513.7125326278656,2811.7207753328867,15783.81777670462,15783.81777670462,34386510.69484031,0.2784235417251191,0.7215764582748808,2728.7482649356753,15783.81777670462
270,506862.7991644005,4109085.9063721225,0.12335171634605843,0.03567826431859249,0.25165967709322346,0.28733794141181596,376713.81662899634,275.6405544476621,376989.457183444,2.600809071791038,5.102576208503234,5.148970628408418,0.1730390164056475,0.029212578683861748,0.023248540137391718,108,134.0,242.0,10088.493008539788,7325.530559889227,19552.483235041185,16790.380392116753,4615948.705536523,0.10980685261005009,0.8901931473899499,7628.922770255303,19552.483235041185
276,4119642172.6408014,3236449894.454484,1.272889217194318,0.04397311975466029,0.041561310363227064,0.08553443011788736,598155237.2898644,253423946.17951876,851579183.4693831,6.61686627820485,6.748301791536219,6.761091155645689,0.006303905895541713,0.004199544254036623,0.004657599813964262,220,214.0,434.0,3212.0691064703365,3259.435514181481,18245.391353731007,18245.391353731007,7356092067.095285,0.5600313502149427,0.43996864978505734,3232.908840916177,18245.391353731007
28,581786.5013783369,2171167.291,0.26796023677676933,0.02793171348440366,0.08273557518421461,0.11066728866861827,462393.62780051323,1243207.751,1705601.3788005135,1.8998672540110009,3.623920549762112,3.47971381609848,0.4564354679226637,0.17068348582782814,0.1843883312215991,99,86.0,185.0,8034.321471076606,8773.010200497647,18337.20260657533,18337.20260657533,2752953.792378337,0.21133173502186495,0.788668264978135,8616.901829668,18337.20260657533
288,55093771.50729915,41296268.04999981,1.3341101777185747,0.08345007120439311,0.012938054495109737,0.09638812569950285,44493100.99979795,257656.9797093026,44750757.97950725,2.490589087689338,6.4885946664035945,4.792058417913861,0.17578692255595546,0.00442255073285026,0.05890269072214094,165,187.0,352.0,6930.402174591409,7892.66595364838,18504.797607051878,18043.281564191468,96390039.55729896,0.5715712096429706,0.42842879035702947,7342.663681457172,18504.797607051878
296,443742.9645770335,351225.04318085004,1.263414933509012,0.07812857829815567,0.12750365503427433,0.20563223333243,423393.1586650618,2181.617,425574.77566506184,1.1921583073765805,5.619089232253634,3.802691544025737,0.5039910661676715,0.01317640265699082,0.1600297766073236,62,53.0,115.0,15403.326352980344,15586.849677172559,18756.890408875377,18756.890408875377,794968.0077578835,0.5581897136069158,0.4418102863930841,15484.408845401516,18756.890408875377
300,94823565.63661824,165166760.47397104,0.5741080430742097,0.0599438446877114,0.09224643177535882,0.1521902764630702,33364523.32836483,17628916.09743461,50993439.42579944,5.027978664580738,5.834273927705979,5.809758545733545,0.0744506271484883,0.03286283076205946,0.0319697454124394,214,192.0,406.0,2476.324620758917,3218.0437574151997,17346.19560364073,17346.19560364073,259990326.11058927,0.3647195918985238,0.6352804081014762,2947.5242565905946,17346.19560364073
308,92547.59746531436,525163.941,0.1762261081541285,0.006100135919230256,0.07739821336433653,0.08349834928356678,61919.26063024879,15.396,61934.65663024879,2.9530932653552155,5.975974445957476,5.8962222528991495,0.12077621204110037,0.008657086674951622,0.005173282266772668,84,75.0,159.0,6238.258993015739,9393.474172859316,18904.56644258914,18904.56644258914,617711.5384653143,0.14982332642716384,0.8501766735728362,8920.74933902167,18904.56644258914
